timestamp,psutil_available,pair_rss_mb,pair_cpu_percent,system_cpu_percent,system_ram_total_mb,system_ram_available_mb,active_llama_server_processes,error
2026-07-03T13:30:42.005668+00:00,True,3993.066406,0.0,0.0,130436.710938,84515.871094,2,
2026-07-03T13:30:42.533232+00:00,True,4004.476562,23.5,16.3,130436.710938,84506.09375,2,
2026-07-03T13:30:43.061259+00:00,True,4011.386718,47.0,12.3,130436.710938,84496.914062,2,
2026-07-03T13:30:43.590780+00:00,True,4017.191406,29.4,13.5,130436.710938,84491.238281,2,
2026-07-03T13:30:44.120310+00:00,True,4121.730468,26.5,11.9,130436.710938,84384.117188,2,
2026-07-03T13:30:44.649660+00:00,True,4123.824218,36.3,15.4,130436.710938,84383.410156,2,
2026-07-03T13:30:45.189983+00:00,True,4123.855468,57.1,15.1,130436.710938,84388.632812,2,
2026-07-03T13:30:45.716707+00:00,True,4235.53125,38.9,11.3,130436.710938,84273.097656,2,
2026-07-03T13:30:46.241498+00:00,True,4237.273437,35.3,13.0,130436.710938,84273.78125,2,
2026-07-03T13:30:46.766033+00:00,True,4342.054687,24.2,11.2,130436.710938,84174.5,2,
2026-07-03T13:30:47.300021+00:00,True,4342.082031,35.4,12.8,130436.710938,84174.707031,2,
2026-07-03T13:30:47.823296+00:00,True,4342.082031,55.8,12.2,130436.710938,84163.929688,2,
2026-07-03T13:30:48.349787+00:00,True,4339.496094,20.9,12.0,130436.710938,84243.71875,2,
2026-07-03T13:30:48.876140+00:00,True,4341.238281,41.2,15.7,130436.710938,84250.558594,2,
2026-07-03T13:30:49.403993+00:00,True,4442.996094,35.3,12.3,130436.710938,84168.269531,2,
