pair,scenario,completed_trials,failed_trials,mean_pair_quality_score,mean_execution_success_rate,total_errors,mean_wall_time_ms,mean_group_step_time_ms,mean_orchestrator_latency_ms,mean_executor_latency_ms,peak_ram_mb_pair,peak_cpu_percent_pair
second_model->first_model,simple,3,0,0.889947,1.0,0,2056.198667,2056.198667,864.125333,588.598833,3370.539063,51.5
second_model->second_model,simple,3,0,0.887296,1.0,0,2552.921333,2552.921333,840.527667,853.6805,4442.996094,57.1
second_model->first_model,heavy,3,0,0.820122,1.0,18,7057.967,3528.9835,1679.836333,487.808879,4390.257813,60.6
second_model->second_model,heavy,3,0,0.875509,1.0,6,8699.126667,4349.563334,1645.543333,782.425889,5675.605469,51.5
