timestamp,psutil_available,pair_rss_mb,pair_cpu_percent,system_cpu_percent,system_ram_total_mb,system_ram_available_mb,active_llama_server_processes,error
2026-07-03T13:31:09.157129+00:00,True,3088.882813,0.0,0.0,130436.710938,83772.25,2,
2026-07-03T13:31:09.687597+00:00,True,3100.359375,32.3,20.8,130436.710938,83755.761719,2,
2026-07-03T13:31:10.213098+00:00,True,3100.363281,58.9,12.2,130436.710938,83748.058594,2,
2026-07-03T13:31:10.746155+00:00,True,3100.363281,50.0,12.8,130436.710938,83732.628906,2,
2026-07-03T13:31:11.269807+00:00,True,3114.421875,23.8,11.9,130436.710938,83698.738281,2,
2026-07-03T13:31:11.797373+00:00,True,3199.835937,32.4,11.5,130436.710938,83619.914062,2,
2026-07-03T13:31:12.337844+00:00,True,3199.84375,41.2,14.1,130436.710938,83607.722656,2,
2026-07-03T13:31:12.869325+00:00,True,3285.695313,47.0,19.3,130436.710938,83448.652344,2,
2026-07-03T13:31:13.410932+00:00,True,3374.101563,37.2,19.9,130436.710938,83363.875,2,
2026-07-03T13:31:13.939217+00:00,True,3460.660156,29.4,10.2,130436.710938,83280.4375,2,
2026-07-03T13:31:14.473882+00:00,True,3544.574219,32.4,16.0,130436.710938,83193.246094,2,
2026-07-03T13:31:14.993818+00:00,True,3546.320313,35.3,11.8,130436.710938,83197.699219,2,
2026-07-03T13:31:15.522783+00:00,True,3631.125,36.3,12.5,130436.710938,83114.714844,2,
2026-07-03T13:31:16.055526+00:00,True,3634.03125,44.1,13.7,130436.710938,83104.8125,2,
2026-07-03T13:31:16.592675+00:00,True,3632.53125,22.8,15.8,130436.710938,83106.160156,2,
2026-07-03T13:31:17.120735+00:00,True,3631.53125,55.9,12.0,130436.710938,83110.222656,2,
2026-07-03T13:31:17.649602+00:00,True,3631.53125,53.0,14.1,130436.710938,83119.367188,2,
2026-07-03T13:31:18.172558+00:00,True,3723.257813,27.0,11.2,130436.710938,83023.105469,2,
2026-07-03T13:31:18.700111+00:00,True,3805.027344,44.1,10.1,130436.710938,82941.527344,2,
2026-07-03T13:31:19.233424+00:00,True,3806.765625,60.6,11.7,130436.710938,82935.191406,2,
2026-07-03T13:31:19.762982+00:00,True,3890.539063,44.1,11.6,130436.710938,82855.996094,2,
2026-07-03T13:31:20.300711+00:00,True,3798.933594,37.1,13.3,130436.710938,82952.726562,2,
2026-07-03T13:31:20.822270+00:00,True,3797.316406,26.5,11.1,130436.710938,82957.171875,2,
2026-07-03T13:31:21.359563+00:00,True,3887.691406,44.1,14.5,130436.710938,82954.234375,2,
2026-07-03T13:31:21.880818+00:00,True,3971.511719,48.5,11.1,130436.710938,82873.285156,2,
2026-07-03T13:31:22.422814+00:00,True,4057.085937,44.1,14.6,130436.710938,82783.503906,2,
2026-07-03T13:31:22.953491+00:00,True,3968.496094,41.1,12.7,130436.710938,82865.707031,2,
2026-07-03T13:31:23.479978+00:00,True,3966.894531,43.3,13.4,130436.710938,82871.441406,2,
2026-07-03T13:31:24.017974+00:00,True,3966.894531,47.1,10.9,130436.710938,82865.226562,2,
2026-07-03T13:31:24.550838+00:00,True,3966.894531,44.1,14.7,130436.710938,82891.984375,2,
2026-07-03T13:31:25.077953+00:00,True,3966.894531,38.3,11.9,130436.710938,82885.34375,2,
2026-07-03T13:31:25.605049+00:00,True,4060.34375,41.2,12.7,130436.710938,82797.253906,2,
2026-07-03T13:31:26.131260+00:00,True,4142.085938,38.3,11.2,130436.710938,82712.796875,2,
2026-07-03T13:31:26.658049+00:00,True,4223.917969,29.4,11.4,130436.710938,82635.378906,2,
2026-07-03T13:31:27.188898+00:00,True,4223.917969,35.2,11.3,130436.710938,82634.964844,2,
2026-07-03T13:31:27.719669+00:00,True,4133.988281,58.9,14.4,130436.710938,82717.375,2,
2026-07-03T13:31:28.261720+00:00,True,4222.59375,35.3,14.1,130436.710938,82632.820312,2,
2026-07-03T13:31:28.788786+00:00,True,4306.390625,41.2,10.2,130436.710938,82549.59375,2,
2026-07-03T13:31:29.325187+00:00,True,4390.257813,25.7,12.1,130436.710938,82468.804688,2,
2026-07-03T13:31:29.854035+00:00,True,4301.667969,42.4,13.7,130436.710938,82557.765625,2,
