profile_id,pair,pair_id,concurrency_level,planned_runs,runs_started,runs_completed,runs_failed,timeout_count,failed_stage,failure_reason,missing_path,mean_wall_time_ms,p95_wall_time_ms,mean_pair_quality_score,mean_execution_success_rate,total_errors,errors_per_run,validation_failure_count,repair_failure_count,endpoint_error_count,peak_ram_mb_total,peak_ram_mb_per_server,peak_cpu_percent_total,peak_vram_mb,mean_vram_mb,peak_gpu_utilization_percent,mean_gpu_utilization_percent,gpu_telemetry_available,gpu_name,gpu_total_vram_mb,throughput_runs_per_minute,throughput_group_steps_per_minute,batch_wall_time_ms,sample_count,server_error,common_failure_modes,stability_verdict
cpu_requested_device_none,second_model->second_model,second_model__second_model,1,2,2,2,0,0,,,,173322.9835,174242.511,0.895833,1.0,0,0.0,0,0,0,8092.609374,4652.507812,2295.1,1715.0,1715.0,54.0,13.556856,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.326452,0.652905,367588.0287,598,,{},stable
cpu_requested_device_none,second_model->second_model,second_model__second_model,2,2,2,0,2,1,group_run,orchestrator_plan_parse_failed,,72636.735,72636.735,,,3,1.5,1,0,0,7579.277344,4105.402344,2251.7,1715.0,1715.0,59.0,14.197368,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.0,0.0,200975.815199,304,,"{""TimeoutError"": 1, ""orchestrator_plan_parse_failed"": 1, ""orchestrator_plan_validation_failed"": 1}",failed
gpu_full_offload,second_model->second_model,second_model__second_model,1,2,2,2,0,0,,,,9134.7655,9166.902,0.875198,1.0,4,2.0,4,0,0,5261.96875,3254.882812,55.5,6420.0,6417.333333,99.0,79.0,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,3.053131,6.106261,39303.9183,33,,"{""NextActionJSONError"": 4, ""NextActionValidationError"": 4}",stable
gpu_full_offload,second_model->second_model,second_model__second_model,2,2,2,2,0,0,,,,7042.8715,7042.881,0.144059,0.0,16,8.0,0,0,32,4023.90625,2012.46875,54.1,6422.0,6413.692308,99.0,71.230769,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,4.366821,8.733643,27479.9428,13,,"{""HTTPStatusError"": 32}",unstable
cpu_requested_device_none,second_model->first_model,second_model__first_model,1,2,2,2,0,0,,,,97962.6415,101447.387,0.778125,1.0,12,6.0,12,0,12,6225.347656,3440.675781,2256.9,1715.0,1715.0,54.0,13.584071,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.554925,1.10985,216245.4875,339,,"{""HTTPStatusError"": 12, ""validation_failed"": 12, ""write_path_outside_artifact_workspace"": 12}",unstable
cpu_requested_device_none,second_model->first_model,second_model__first_model,2,2,2,1,1,0,group_run,orchestrator_plan_parse_failed,,82547.034,114411.289,0.775,1.0,8,4.0,7,0,6,5824.042969,3473.867188,2254.8,1715.0,1715.0,60.0,14.010204,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.446756,0.893512,134301.4491,196,,"{""HTTPStatusError"": 6, ""orchestrator_plan_parse_failed"": 1, ""orchestrator_plan_validation_failed"": 1, ""validation_failed"": 6, ""write_path_outside_artifact_workspace"": 6}",unstable
gpu_full_offload,second_model->first_model,second_model__first_model,1,2,2,2,0,0,,,,7097.973,7160.777,0.820153,1.0,12,6.0,12,0,12,4070.460938,2062.792969,59.5,5482.0,5478.222222,99.0,74.481481,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,3.473183,6.946366,34550.4373,27,,"{""HTTPStatusError"": 12, ""validation_failed"": 12, ""write_path_outside_artifact_workspace"": 12}",unstable
gpu_full_offload,second_model->first_model,second_model__first_model,2,2,2,2,0,0,,,,5358.1425,5364.008,0.146138,0.0,16,8.0,0,0,32,3122.789062,2011.582031,56.7,5479.0,5471.2,98.0,69.6,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,4.770196,9.540393,25156.1973,10,,"{""HTTPStatusError"": 32}",unstable
