profile_id,pair,pair_id,concurrency_level,planned_runs,runs_started,runs_completed,runs_failed,timeout_count,mean_wall_time_ms,p95_wall_time_ms,mean_pair_quality_score,mean_execution_success_rate,total_errors,errors_per_run,validation_failure_count,repair_failure_count,endpoint_error_count,peak_ram_mb_total,peak_ram_mb_per_server,peak_cpu_percent_total,peak_vram_mb,mean_vram_mb,peak_gpu_utilization_percent,mean_gpu_utilization_percent,gpu_telemetry_available,gpu_name,gpu_total_vram_mb,throughput_runs_per_minute,throughput_group_steps_per_minute,batch_wall_time_ms,sample_count,server_error,common_failure_modes,stability_verdict
strict_cpu,second_model->second_model,second_model__second_model,1,2,2,0,2,0,,,,,2,1.0,0,0,0,8099.003907,4658.667969,2299.2,1503.0,1307.624365,73.0,26.954315,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.0,0.0,364062.1904,591,,"{""FileNotFoundError"": 2}",failed
strict_cpu,second_model->second_model,second_model__second_model,2,2,2,0,2,1,,,,,2,1.0,0,0,0,7582.277343,4108.539062,2278.0,1525.0,1463.348387,77.0,25.529032,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.0,0.0,200509.3101,310,,"{""FileNotFoundError"": 1, ""TimeoutError"": 1}",failed
gpu_full_offload,second_model->second_model,second_model__second_model,1,2,2,0,2,0,,,,,2,1.0,0,0,0,5271.523437,3263.984375,58.3,6189.0,6186.333333,99.0,76.090909,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.0,0.0,38477.9658,33,,"{""FileNotFoundError"": 2}",failed
gpu_full_offload,second_model->second_model,second_model__second_model,2,2,2,0,2,0,,,,,2,1.0,0,0,0,4024.4375,2012.796875,54.1,6192.0,6183.692308,99.0,63.615385,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.0,0.0,27431.9232,13,,"{""FileNotFoundError"": 2}",failed
strict_cpu,second_model->first_model,second_model__first_model,1,2,2,0,2,0,,,,,2,1.0,0,0,0,5437.1875,3440.664062,2246.4,1737.0,1530.637168,80.0,23.424779,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.0,0.0,86404.0903,113,,"{""FileNotFoundError"": 2}",failed
strict_cpu,second_model->first_model,second_model__first_model,2,2,2,0,2,0,,,,,2,1.0,0,0,0,5275.019532,3442.773438,2249.1,1779.0,1635.942708,51.0,20.25,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.0,0.0,130859.7173,192,,"{""FileNotFoundError"": 2}",failed
gpu_full_offload,second_model->first_model,second_model__first_model,1,2,2,0,2,0,,,,,2,1.0,0,0,0,3200.53125,2008.398438,59.5,5439.0,5431.181818,91.0,44.0,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.0,0.0,25401.6082,11,,"{""FileNotFoundError"": 2}",failed
gpu_full_offload,second_model->first_model,second_model__first_model,2,2,2,0,2,0,,,,,2,1.0,0,0,0,3120.792969,2010.753906,60.5,5439.0,5430.4,95.0,57.2,True,NVIDIA RTX PRO 4000 Blackwell,24467.0,0.0,0.0,25147.7792,10,,"{""FileNotFoundError"": 2}",failed
